"NAZEV";"CU_HNO3";"PB_HNO3";"ZN_HNO3"
"Ceske Budijovice";1,7509374747078;2,60268968544438;2,47653840011748
"Ceske Budijovice";1,7509374747078;2,60268968544438;2,47653840011748
"Ceske Budijovice";1,75785791755237;2,60268968544438;2,47653840011748
"Ceske Budijovice";2,01490302054226;1,75785791755237;2,47653840011748
"Ceske Budijovice";1,9823798288367;2,4423470353692;2,4782176616372
"Ceske Budijovice";1,33500106673234;2,2082744135228;2,484906649788
"Ceske Budijovice";1,50407739677627;1,87180217690159;2,484906649788
"Ceske Budijovice";1,56861591791385;2,39789527279837;2,484906649788
"Ceske Budijovice";1,58923520511658;1,97408102602201;2,484906649788
"Ceske Budijovice";1,7404661748405;1,84054963339749;2,484906649788
"Ceske Budijovice";1,77495235091167;1,98787434815435;2,484906649788
"Ceske Budijovice";1,60341984010854;2,46809953147162;2,48740352998658
"Ceske Budijovice";1,1314021114911;1,70474809223843;2,4932054526027
"Ceske Budijovice";1,64865862558738;2,27212588550934;2,4932054526027
"Ceske Budijovice";2,05412373369555;2,30258509299405;2,4932054526027
"Ceske Budijovice";2,03731661537916;2,41143949790613;2,49403155756499
"Ceske Budijovice";1,59330853050422;2,484906649788;2,49485698064116
"Ceske Budijovice";1,94161522477243;2,58776403522771;2,49732916978656
"Ceske Budijovice";1,48160454092422;2,68784749378468;2,5014359517392
"Ceske Budijovice";1,52605630349505;2,3887627892351;2,5014359517392
"Ceske Budijovice";1,66770682055808;2,14006616349627;2,50959926237837
